president,month,mean_pop
hollande,2013-04-01,0.3135160981371227
hollande,2013-05-01,0.2820568786150215
hollande,2013-06-01,0.28502048300361893
hollande,2013-07-01,0.27013243970333495
hollande,2013-08-01,0.25999558100436354
hollande,2013-09-01,0.2703991557717996
hollande,2013-10-01,0.25317936842902905
hollande,2013-11-01,0.2349535675965778
hollande,2013-12-01,0.22849216472837022
hollande,2014-01-01,0.23518524273013375
hollande,2014-02-01,0.23491376811059872
hollande,2014-03-01,0.2139058501682899
hollande,2014-04-01,0.21542496530346794
hollande,2014-05-01,0.18797273560212013
hollande,2014-06-01,0.18514035620552455
hollande,2014-07-01,0.18693798895129363
hollande,2014-08-01,0.17598589536936793
hollande,2014-09-01,0.1675054289162287
hollande,2014-10-01,0.1611858163926459
hollande,2014-11-01,0.16298138444616428
hollande,2014-12-01,0.16628686204176443
hollande,2015-01-01,0.20296324379853276
hollande,2015-02-01,0.27102838289624565
hollande,2015-03-01,0.24794651229722728
hollande,2015-04-01,0.23840991915665957
hollande,2015-05-01,0.21919685187644097
hollande,2015-06-01,0.2203374795840971
hollande,2015-07-01,0.2093971979644591
hollande,2015-08-01,0.22390443675634286
hollande,2015-09-01,0.2276558709539629
hollande,2015-10-01,0.21591485537869168
hollande,2015-11-01,0.22225626076902052
hollande,2015-12-01,0.29305059710692605
hollande,2016-01-01,0.2567675082187264
hollande,2016-02-01,0.22390225228667832
hollande,2016-03-01,0.19551734171614354
hollande,2016-04-01,0.1728554831043485
hollande,2016-05-01,0.1555437055784785
hollande,2016-06-01,0.15803499704269333
hollande,2016-07-01,0.1525464267593581
hollande,2016-08-01,0.1668877353893485
hollande,2016-09-01,0.1641849900548934
hollande,2016-10-01,0.15298895685045613
hollande,2016-11-01,0.151579042068807
hollande,2016-12-01,0.16505254540030295
hollande,2017-01-01,0.18583287982584692
hollande,2017-02-01,0.19395380094351083
hollande,2017-03-01,0.19333779209290283
hollande,2017-04-01,0.21403784506209794
hollande,2017-05-01,0.20989062965180544
macron,2017-06-01,0.5642544570120234
macron,2017-07-01,0.5654872407114926
macron,2017-08-01,0.4882019892147278
macron,2017-09-01,0.41846543011783205
macron,2017-10-01,0.4093234730419454
macron,2017-11-01,0.4100040074428324
macron,2017-12-01,0.43553714362902385
macron,2018-01-01,0.46942762460508236
macron,2018-02-01,0.45850984503949604
macron,2018-03-01,0.4210892442645006
macron,2018-04-01,0.4194948916209945
macron,2018-05-01,0.4219180272536067
macron,2018-06-01,0.41335473874429357
macron,2018-07-01,0.3888027784824939
macron,2018-08-01,0.35705299148422776
macron,2018-09-01,0.3356494501750188
macron,2018-10-01,0.30080305248987615
macron,2018-11-01,0.2844991847983283
macron,2018-12-01,0.2634753075773345
macron,2019-01-01,0.2573855953034085
macron,2019-02-01,0.2786668039086233
macron,2019-03-01,0.2925399978810543
macron,2019-04-01,0.29773614306231205
macron,2019-05-01,0.29095899737809816
macron,2019-06-01,0.30428408827418263
macron,2019-07-01,0.3282899954144977
macron,2019-08-01,0.3282427181221236
macron,2019-09-01,0.34288114708071366
macron,2019-10-01,0.3450949103502785
macron,2019-11-01,0.3389259027928586
macron,2019-12-01,0.3234536759650561
macron,2020-01-01,0.3213950509673246
macron,2020-02-01,0.33155971800674944
macron,2020-03-01,0.3225636018097027
macron,2020-04-01,0.3888708719941421
macron,2020-05-01,0.3806155224990284
macron,2020-06-01,0.36889440614248004
macron,2020-07-01,0.3603283825639819
macron,2020-08-01,0.3768121079863722
macron,2020-09-01,0.3863733547106187
macron,2020-10-01,0.372527302199247
macron,2020-11-01,0.3875760850708541
macron,2020-12-01,0.4081724760169536
macron,2021-01-01,0.3868973007769558
macron,2021-02-01,0.3909505115430505
macron,2021-03-01,0.39599963410813066
macron,2021-04-01,0.3823175598048517
macron,2021-05-01,0.37199780144708205
macron,2021-06-01,0.3905300966499227
macron,2021-07-01,0.38596948633028516
macron,2021-08-01,0.39090555605382526
macron,2021-09-01,0.3839741126805031
macron,2021-10-01,0.38293042596618454
macron,2021-11-01,0.3892432906016925
macron,2021-12-01,0.40038394324744786
macron,2022-01-01,0.4040460010896748
macron,2022-02-01,0.3969922490653093
macron,2022-03-01,0.39556963017514285
macron,2022-04-01,0.4207363499579057
macron,2022-05-01,0.4227270035472214
